Column 16,Column 18
-2.0,47.699999999999996
-1.9,48.199999999999996
-1.5,48.4
-1.5,48.5
-1.5,48.5
-1.5,48.3
-1.5,48.8
-1.4,48.6
-1.4,48.6
-1.4,48.8
-1.4,48.6
-1.3,48.6
-1.3,48.5
-1.3,48.3
-1.1,48.9
-1.1,48.699999999999996
-1.1,49.3
-1.1,49.0
-1.1,49.2
-1.1,49.0
-1.1,48.9
-1.0,48.699999999999996
-1.0,48.5
-0.9,48.9
-0.9,48.699999999999996
-0.9,48.9
-0.9,49.3
-0.9,49.2
-0.9,49.1
-0.8,48.8
-0.8,49.4
-0.8,48.8
-0.8,49.4
-0.8,49.4
-0.8,49.1
-0.8,49.2
-0.8,48.699999999999996
-0.7,49.5
-0.7,48.699999999999996
-0.7,49.4
-0.7,49.4
-0.7,49.4
-0.7,49.2
-0.7,49.6
-0.7,49.2
-0.7,49.4
-0.6,49.4
-0.6,49.4
-0.6,48.9
-0.6,49.3
