Column 15,Column 18
86,53.800000000000004
86,53.900000000000006
76,53.2
74,53.1
70,53.2
68,52.7
64,52.800000000000004
62,52.5
62,52.400000000000006
60,52.300000000000004
59,52.300000000000004
57,52.0
56,52.1
56,52.2
55,52.400000000000006
54,51.9
54,52.0
53,52.0
52,51.9
52,52.0
52,51.9
52,51.800000000000004
51,51.800000000000004
50,51.800000000000004
50,51.9
49,51.7
49,51.9
49,51.6
49,51.7
47,51.9
46,51.4
45,51.6
45,51.800000000000004
44,51.5
44,51.800000000000004
44,51.9
44,51.300000000000004
44,51.4
44,51.300000000000004
42,51.300000000000004
42,51.4
42,51.5
41,51.4
41,51.6
41,51.2
40,51.1
39,51.1
39,51.300000000000004
38,51.2
38,51.5
