Name,Rank,Top 50 WAR,Original Column 18
69,1,53.900000000000006,0.539
4,2,53.800000000000004,0.538
503,3,53.2,0.532
615,4,53.2,0.532
618,5,53.1,0.531
500,6,52.800000000000004,0.528
228,7,52.7,0.527
300,8,52.5,0.525
225,9,52.400000000000006,0.524
380,10,52.400000000000006,0.524
353,11,52.300000000000004,0.523
566,12,52.300000000000004,0.523
672,13,52.2,0.522
120,14,52.1,0.521
183,15,52.0,0.52
250,16,52.0,0.52
645,17,52.0,0.52
701,18,52.0,0.52
24,19,51.9,0.519
70,20,51.9,0.519
154,21,51.9,0.519
314,22,51.9,0.519
467,23,51.9,0.519
571,24,51.9,0.519
577,25,51.9,0.519
37,26,51.800000000000004,0.518
336,27,51.800000000000004,0.518
337,28,51.800000000000004,0.518
407,29,51.800000000000004,0.518
553,30,51.800000000000004,0.518
14,31,51.7,0.517
669,32,51.7,0.517
61,33,51.6,0.516
83,34,51.6,0.516
475,35,51.6,0.516
134,36,51.5,0.515
352,37,51.5,0.515
435,38,51.5,0.515
636,39,51.5,0.515
76,40,51.4,0.514
292,41,51.4,0.514
516,42,51.4,0.514
659,43,51.4,0.514
232,44,51.300000000000004,0.513
239,45,51.300000000000004,0.513
329,46,51.300000000000004,0.513
390,47,51.300000000000004,0.513
427,48,51.300000000000004,0.513
597,49,51.300000000000004,0.513
755,50,51.300000000000004,0.513
